simulation_id,generation,clone,clone_size,clone_fraction,average_fitness,average_age,average_passenger_mutations,driver_mutation_count,aggressiveness_score,aggressive
0,0,APC,2,2e-06,1.55766,1,1.0,1,1.05095,0
0,0,BRCA1,1,1e-06,1.48877,1,1.0,1,1.01994,0
0,0,EGFR,2,2e-06,1.62256,1,1.0,1,1.08015,0
0,0,Healthy,999994,0.999994,1.29805,1,0.000102001,0,0.784132,0
0,0,KRAS,1,1e-06,1.75237,1,1.0,1,1.13857,0
0,1,APC,5,5e-06,1.55533,2,1.0,1,1.0499,0
0,1,BRCA1,1,1e-06,1.48653,2,1.0,1,1.01894,0
0,1,EGFR,4,4e-06,1.62013,2,1.0,1,1.07906,0
0,1,Healthy,999986,0.999986,1.29611,2,0.000179003,0,0.783262,0
0,1,KRAS,2,2e-06,1.74974,2,1.0,1,1.13738,0
0,1,TP53,2,2e-06,1.93997,2,1.0,1,1.22299,0
0,2,APC,10,1e-05,1.55299,3,1.0,1,1.04885,0
0,2,EGFR,6,6e-06,1.6177,3,1.0,1,1.07797,0
0,2,Healthy,999972,0.999972,1.29416,3,0.000263007,0,0.782393,0
0,2,KRAS,8,8e-06,1.74712,3,1.0,1,1.1362,0
0,2,PIK3CA,1,1e-06,1.70876,3,1.0,1,1.11894,0
0,2,TP53,3,3e-06,1.93918,3,1.0,1,1.22263,0
0,3,APC,12,1.2e-05,1.55066,4,1.0,1,1.0478,0
0,3,BRCA2,1,1e-06,1.48208,4,1.0,1,1.01694,0
0,3,EGFR,8,8e-06,1.61528,4,1.0,1,1.07688,0
0,3,Healthy,999958,0.999958,1.29222,4,0.000351015,0,0.781526,0
0,3,KRAS,13,1.3e-05,1.7445,4,1.0,1,1.13503,0
0,3,PIK3CA,2,2e-06,1.70635,4,1.0,1,1.11786,0
0,3,PTEN,1,1e-06,1.70986,4,1.0,1,1.11943,0
0,3,TP53,5,5e-06,1.93839,4,1.0,1,1.22227,0
0,4,APC,15,1.5e-05,1.54834,5,1.0,1,1.04676,0
0,4,BRCA1,1,1e-06,1.47985,5,1.0,1,1.01593,0
0,4,BRCA2,1,1e-06,1.47985,5,1.0,1,1.01593,0
0,4,EGFR,7,7e-06,1.61285,5,1.0,1,1.07579,0
